iter	Passed	Remaining
0	0	41
1	0	36
2	1	34
3	1	31
4	1	31
5	1	30
6	2	30
7	2	29
8	2	29
9	3	29
10	3	28
11	3	28
12	4	28
13	4	27
14	4	27
15	5	26
16	5	26
17	5	25
18	5	25
19	6	25
20	6	24
21	6	24
22	7	24
23	7	23
24	7	23
25	8	23
26	8	22
27	8	22
28	9	22
29	9	21
30	9	21
31	9	21
32	10	20
33	10	20
34	10	20
35	11	19
36	11	19
37	11	19
38	12	18
39	12	18
40	12	18
41	12	17
42	13	17
43	13	16
44	13	16
45	13	16
46	14	16
47	14	15
48	14	15
49	15	15
50	15	14
51	15	14
52	16	14
53	16	14
54	16	13
55	16	13
56	17	13
57	17	12
58	17	12
59	18	12
60	18	11
61	18	11
62	19	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	21	9
70	21	8
71	21	8
72	22	8
73	22	7
74	22	7
75	23	7
76	23	6
77	23	6
78	23	6
79	24	6
80	24	5
81	24	5
82	25	5
83	25	4
84	25	4
85	26	4
86	26	3
87	26	3
88	26	3
89	27	3
90	27	2
91	27	2
92	28	2
93	28	1
94	28	1
95	29	1
96	29	0
97	29	0
98	29	0
99	30	0
