iter	Passed	Remaining
0	0	409
1	0	414
2	1	384
3	1	380
4	2	398
5	2	386
6	2	375
7	2	371
8	3	365
9	3	362
10	4	361
11	4	361
12	4	359
13	5	358
14	5	357
15	5	356
16	6	352
17	6	352
18	6	350
19	7	348
20	7	347
21	7	348
22	8	348
23	8	346
24	8	344
25	9	347
26	9	348
27	10	356
28	10	357
29	11	357
30	11	356
31	11	355
32	12	354
33	12	354
34	12	354
35	13	354
36	13	354
37	13	354
38	14	355
39	14	354
40	15	355
41	15	355
42	16	358
43	16	360
44	16	360
45	17	360
46	17	361
47	18	361
48	18	360
49	18	360
50	19	359
51	19	358
52	20	358
53	20	357
54	20	356
55	21	355
56	21	355
57	21	353
58	22	353
59	22	353
60	22	352
61	23	354
62	24	357
63	24	357
64	24	357
65	25	357
66	25	359
67	26	360
68	26	359
69	27	360
70	27	359
71	27	360
72	28	359
73	28	358
74	28	357
75	29	357
76	29	357
77	30	356
78	30	355
79	30	356
80	31	356
81	31	355
82	31	353
83	32	352
84	32	352
85	33	351
86	33	351
87	33	350
88	34	350
89	34	349
90	34	349
91	35	348
92	35	348
93	36	348
94	36	347
95	36	347
96	37	346
97	37	345
98	37	345
99	38	344
100	38	344
101	38	343
102	39	342
103	39	341
104	40	341
105	40	340
106	40	341
107	41	340
108	41	340
109	42	340
110	42	341
111	43	341
112	43	340
113	43	339
114	44	340
115	44	342
116	45	342
117	45	343
118	46	342
119	46	342
120	47	341
121	47	340
122	47	339
123	48	339
124	48	339
125	48	338
126	49	337
127	49	336
128	49	336
129	50	335
130	50	335
131	50	334
132	51	334
133	51	334
134	52	333
135	52	333
136	52	333
137	53	333
138	53	332
139	54	331
140	54	331
141	54	330
142	55	330
143	55	331
144	56	332
145	56	332
146	57	331
147	57	330
148	57	330
149	58	330
150	58	329
151	58	328
152	59	328
153	59	328
154	60	328
155	60	328
156	61	328
157	61	327
158	61	327
159	62	326
160	62	325
161	62	325
162	63	325
163	63	324
164	64	324
165	64	323
166	64	323
167	65	322
168	65	322
169	65	321
170	66	321
171	66	321
172	67	321
173	67	321
174	68	321
175	68	321
176	69	321
177	69	320
178	70	321
179	70	321
180	71	321
181	71	322
182	72	321
183	72	321
184	72	320
185	73	320
186	73	319
187	74	319
188	74	319
189	74	319
190	75	319
191	75	318
192	76	318
193	76	318
194	77	317
195	77	317
196	77	317
197	78	316
198	78	315
199	78	315
200	79	314
201	79	314
202	79	313
203	80	313
204	80	313
205	81	313
206	81	312
207	82	312
208	82	312
209	82	311
210	83	311
211	84	312
212	84	312
213	85	312
214	85	311
215	85	311
216	86	310
217	86	310
218	86	309
219	87	309
220	87	308
221	87	308
222	88	307
223	88	307
224	89	307
225	89	307
226	90	306
227	90	306
228	90	306
229	91	305
230	91	305
231	92	304
232	92	304
233	92	303
234	93	303
235	93	302
236	93	302
237	94	301
238	94	301
239	95	301
240	95	300
241	95	299
242	96	299
243	96	298
244	96	298
245	97	298
246	97	298
247	98	297
248	99	298
249	99	298
250	99	298
251	100	297
252	100	297
253	101	296
254	101	296
255	101	295
256	102	295
257	102	295
258	103	295
259	103	294
260	104	294
261	104	294
262	105	294
263	105	293
264	105	293
265	106	292
266	106	291
267	106	291
268	106	290
269	107	290
270	107	289
271	107	288
272	108	288
273	108	287
274	108	287
275	109	286
276	109	286
277	109	285
278	110	285
279	110	284
280	111	284
281	112	285
282	113	286
283	113	286
284	114	286
285	114	285
286	114	285
287	115	285
288	115	284
289	116	284
290	116	284
291	117	283
292	117	283
293	117	282
294	118	282
295	118	281
296	118	281
297	119	280
298	119	280
299	119	279
300	120	279
301	120	278
302	120	277
303	121	277
304	121	276
305	121	276
306	122	275
307	122	275
308	122	274
309	123	274
310	123	273
311	123	273
312	124	272
313	124	272
314	124	271
315	125	271
316	125	271
317	126	270
318	126	270
319	127	270
320	127	269
321	128	269
322	128	269
323	128	268
324	129	268
325	129	267
326	129	267
327	130	266
328	130	266
329	130	265
330	131	265
331	131	265
332	132	264
333	132	264
334	132	263
335	133	263
336	133	262
337	133	262
338	134	261
339	134	261
340	134	260
341	135	260
342	135	259
343	135	259
344	136	258
345	136	257
346	136	257
347	137	257
348	137	256
349	137	256
350	138	255
351	138	254
352	138	254
353	139	254
354	139	253
355	140	253
356	140	252
357	140	252
358	141	251
359	141	251
360	142	251
361	142	250
362	142	250
363	143	250
364	143	249
365	143	249
366	144	249
367	144	248
368	145	248
369	145	247
370	145	247
371	146	246
372	146	246
373	146	245
374	147	245
375	147	245
376	148	244
377	148	244
378	149	244
379	149	243
380	149	243
381	150	243
382	150	242
383	151	242
384	151	241
385	151	241
386	152	240
387	152	240
388	152	240
389	153	239
390	153	239
391	153	238
392	154	238
393	155	238
394	155	238
395	156	238
396	156	237
397	157	237
398	157	237
399	157	236
400	158	236
401	158	235
402	159	235
403	159	235
404	160	235
405	160	235
406	161	234
407	161	234
408	162	234
409	162	233
410	162	233
411	163	233
412	163	232
413	164	232
414	164	232
415	164	231
416	165	231
417	165	231
418	166	230
419	166	230
420	167	229
421	167	229
422	167	228
423	168	228
424	168	228
425	169	227
426	169	227
427	170	227
